City,Stadium,Capacity,half_time_home_goals,home_shots,home_shots_target,home_post,home_corners,home_offside,home_fouls,home_yellow_cards,home_red_cards,home_booking_pts,half_time_away_goals,away_shots,away_shots_target,away_post,away_corners,away_offside,away_fouls,away_yellow_cards,away_red_cards,away_booking_pts,half_time_result,full_time_home_goals,full_time_away_goals,result,Attendance,closest_station,season,date,home_team_api_id,away_team_api_id,possession,home_team,away_team,home_possession,home_passing,home_aerials,home_shots_against,home_tackles,home_interceptions,home_dribbles,home_fouls_for,away_possession,away_passing,away_aerials,away_shots_against,away_tackles,away_interceptions,away_dribbles,away_fouls_for,station,temp (F),dew (F),humidity,wind direction,wind speed (mph),prec (in),visibility (mi),home_goal_headers,home_goal_freekicks,home_goal_volleys,home_goal_other,away_goal_headers,away_goal_freekicks,away_goal_volleys,away_goal_other,home_shoton_headers,home_shoton_freekicks,home_shoton_volleys,home_shoton_other,home_shoton_bigchance,away_shoton_headers,away_shoton_freekicks,away_shoton_volleys,away_shoton_other,away_shoton_bigchance,home_shotoff_headers,home_shotoff_freekicks,home_shotoff_volleys,home_shotoff_other,home_shotoff_bigchance,home_shotoff_bad_shot,away_shotoff_headers,away_shotoff_freekicks,away_shotoff_volleys,away_shotoff_other,away_shotoff_bigchance,away_shotoff_bad_shot,home_crosses,away_crosses
London ,Loftus Road ,18439.0,0,13,7,,4,,12,1,0,,2,21,15,,13,,9,0,0,,A,1,3,A,,EGWU,2012/2013,2012-11-17 15:00:00,10172.0,8466.0,<possession><value><comment>47</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>5</sortorder><awaypos>53</awaypos><homepos>47</homepos><n>46</n><type>special</type><id>2484524</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>79</n><type>special</type><id>2484762</id></value><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>68</elapsed><subtype>possession</subtype><sortorder>5</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>126</n><type>special</type><id>2485191</id></value></possession>,Queens Park Rangers,Southampton,46.9,76.2,15.3,15.8,21.5,17.4,9.2,11.4,52.2,77.3,16.4,11.8,21.6,20.5,6.3,9.4,EGWU,50.0,42.8,76.18,330.0,1.2,0.0,6.21,1,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,5,1,1,0,0,4,0,0,1,0,2,6,2,0,15,25
Reading ,Madejski Stadium ,24224.0,0,12,4,,7,,11,3,0,,1,21,11,,13,,11,2,0,,A,2,1,H,,EGVO,2012/2013,2012-11-17 15:00:00,9798.0,8668.0,<possession><value><comment>55</comment><event_incident_typefk>352</event_incident_typefk><elapsed>16</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>45</awaypos><homepos>55</homepos><n>27</n><type>special</type><id>2484435</id></value><value><comment>42</comment><event_incident_typefk>352</event_incident_typefk><elapsed>50</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>58</awaypos><homepos>42</homepos><n>74</n><type>special</type><id>2484938</id></value><value><comment>41</comment><event_incident_typefk>352</event_incident_typefk><elapsed>65</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>59</awaypos><homepos>41</homepos><n>89</n><type>special</type><id>2485146</id></value><value><comment>43</comment><event_incident_typefk>352</event_incident_typefk><elapsed>76</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>57</awaypos><homepos>43</homepos><n>105</n><type>special</type><id>2485308</id></value><value><comment>42</comment><event_incident_typefk>352</event_incident_typefk><elapsed>84</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>58</awaypos><homepos>42</homepos><n>116</n><type>special</type><id>2485427</id></value></possession>,Reading,Everton,42.8,69.2,18.4,18.6,15.8,14.7,4.4,11.3,51.9,79.0,18.6,11.9,18.9,15.5,5.3,13.1,EGVO,50.0,44.6,81.61,330.0,2.3,0.0,6.21,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,5,0,3,0,0,2,0,1,1,0,1,4,1,0,11,23
West Bromwich ,The Hawthorns ,27877.0,1,8,6,,0,,7,0,0,,1,19,12,,12,,13,0,0,,D,2,1,H,,EGBB,2012/2013,2012-11-17 15:00:00,8659.0,8455.0,<possession><value><comment>48</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>52</awaypos><homepos>48</homepos><n>27</n><type>special</type><id>2484510</id></value><value><comment>53</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>47</awaypos><homepos>53</homepos><n>58</n><type>special</type><id>2484779</id></value><value><comment>51</comment><event_incident_typefk>352</event_incident_typefk><elapsed>66</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>49</awaypos><homepos>51</homepos><n>108</n><type>special</type><id>2485137</id></value><value><comment>48</comment><event_incident_typefk>352</event_incident_typefk><elapsed>89</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>52</awaypos><homepos>48</homepos><n>154</n><type>special</type><id>2485461</id></value></possession>,West Bromwich Albion,Chelsea,46.3,77.7,15.7,15.6,18.4,9.9,5.5,10.3,52.9,82.7,13.5,12.2,18.7,13.2,7.3,11.9,EGBB,45.5,40.1,81.27,290.0,3.45,0.0,6.21,2,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,10,5,0,0,0,2,0,0,0,0,1,8,3,0,6,35
London ,Craven Cottage ,25700.0,0,18,13,,4,,9,1,1,,0,12,9,,4,,13,3,0,,D,1,3,A,,EGWU,2012/2013,2012-11-18 15:00:00,9879.0,8472.0,<possession><value><comment>54</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>46</awaypos><homepos>54</homepos><n>53</n><type>special</type><id>2487164</id></value><value><comment>49</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>91</n><type>special</type><id>2487316</id></value><value><comment>47</comment><event_incident_typefk>352</event_incident_typefk><elapsed>65</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>53</awaypos><homepos>47</homepos><n>134</n><type>special</type><id>2487567</id></value><value><comment>46</comment><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>54</awaypos><homepos>46</homepos><n>179</n><type>special</type><id>2487797</id></value></possession>,Fulham,Sunderland,49.6,81.4,15.3,16.8,17.9,19.6,6.2,10.8,44.7,75.2,17.0,16.7,20.6,15.3,6.2,12.1,EGWU,46.4,35.6,65.83,210.0,2.3,0.0,6.21,0,0,0,1,1,0,0,2,0,0,0,9,1,0,0,0,4,0,1,1,0,5,0,0,0,0,0,3,0,0,19,13
London ,Boleyn Ground ,35303.0,0,16,11,,12,,8,1,0,,1,12,6,,4,,9,0,0,,A,1,1,D,,EGLC,2012/2013,2012-11-19 15:00:00,8654.0,10194.0,<possession><value><comment>55</comment><event_incident_typefk>352</event_incident_typefk><elapsed>27</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>45</awaypos><homepos>55</homepos><n>55</n><type>special</type><id>2489105</id></value><value><comment>51</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>49</awaypos><homepos>51</homepos><n>92</n><type>special</type><id>2489145</id></value><value><comment>54</comment><event_incident_typefk>352</event_incident_typefk><elapsed>70</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>46</awaypos><homepos>54</homepos><n>167</n><type>special</type><id>2489236</id></value><value><comment>54</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>4</sortorder><awaypos>46</awaypos><homepos>54</homepos><n>214</n><type>special</type><id>2489289</id></value></possession>,West Ham,Stoke,45.1,73.6,21.2,16.4,19.2,12.1,5.0,9.6,44.4,69.9,28.9,14.3,19.1,13.2,4.2,9.4,EGLC,50.0,42.8,76.18,175.0,9.2,0.0,6.21,0,0,0,1,0,0,0,1,3,0,2,3,1,2,0,0,3,0,0,0,0,5,0,1,0,0,1,4,0,0,42,18
Birmingham ,Villa Park ,42785.0,0,10,8,,7,,6,1,0,,0,13,6,,6,,9,0,0,,D,0,0,D,,EGBB,2012/2013,2012-11-24 15:00:00,10252.0,9825.0,<possession><value><comment>42</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>58</awaypos><homepos>42</homepos><n>31</n><type>special</type><id>2496944</id></value><value><comment>45</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>55</awaypos><homepos>45</homepos><n>66</n><type>special</type><id>2497014</id></value><value><comment>51</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>49</awaypos><homepos>51</homepos><n>103</n><type>special</type><id>2497127</id></value><value><comment>55</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>45</awaypos><homepos>55</homepos><n>159</n><type>special</type><id>2497201</id></value></possession>,Aston Villa,Arsenal,47.2,77.1,18.9,16.7,19.4,20.4,6.6,9.1,56.2,85.2,16.8,10.6,19.7,16.7,10.7,10.8,EGBB,43.7,42.8,96.675,90.0,11.55,0.0,4.04,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,6,1,1,0,0,2,1,0,0,0,1,5,4,0,21,25
Liverpool ,Goodison Park ,40157.0,1,14,9,,4,,10,0,0,,0,8,4,,2,,18,3,0,,H,1,1,D,,EGGP,2012/2013,2012-11-24 15:00:00,8668.0,9850.0,<possession><value><comment>66</comment><event_incident_typefk>352</event_incident_typefk><elapsed>21</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>34</awaypos><homepos>66</homepos><n>49</n><type>special</type><id>2495787</id></value><value><comment>56</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>44</awaypos><homepos>56</homepos><n>91</n><type>special</type><id>2496015</id></value><value><comment>53</comment><event_incident_typefk>352</event_incident_typefk><elapsed>71</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>47</awaypos><homepos>53</homepos><n>155</n><type>special</type><id>2496401</id></value><value><comment>50</comment><elapsed_plus>3</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>199</n><type>special</type><id>2496644</id></value></possession>,Everton,Norwich,51.9,79.0,18.6,11.9,18.9,15.5,5.3,13.1,44.4,73.0,17.0,14.1,17.8,14.2,4.8,10.5,EGGP,42.8,41.0,93.3,80.0,12.1,0.0,5.28,0,0,0,1,1,0,0,0,1,0,0,7,1,1,1,0,3,2,1,1,2,3,0,0,1,0,0,3,0,0,17,12
Stretford ,Old Trafford ,75811.0,0,15,10,,9,,6,1,0,,0,10,6,,7,,10,1,0,,D,3,1,H,,EGCC,2012/2013,2012-11-24 15:00:00,10260.0,10172.0,<possession><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>20</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>34</n><type>special</type><id>2495834</id></value><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>95</n><type>special</type><id>2496040</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>65</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>153</n><type>special</type><id>2496361</id></value><value><comment>60</comment><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>40</awaypos><homepos>60</homepos><n>203</n><type>special</type><id>2496640</id></value></possession>,Manchester United,Queens Park Rangers,54.9,85.2,14.2,12.8,19.2,13.5,6.4,11.1,46.9,76.2,15.3,15.8,21.5,17.4,9.2,11.4,EGCC,43.7,39.2,84.095,90.0,10.4,0.0,5.9,2,0,0,1,0,0,0,1,1,0,0,6,2,1,0,0,6,1,0,1,1,4,1,0,0,0,0,3,0,1,27,13
Stoke-on-Trent ,Britannia Stadium ,27740.0,1,12,3,,7,,14,1,0,,0,8,5,,2,,11,1,0,,H,1,0,H,,EGOS,2012/2013,2012-11-24 15:00:00,10194.0,9879.0,<possession><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>62</n><type>special</type><id>2495805</id></value><value><comment>52</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>48</awaypos><homepos>52</homepos><n>63</n><type>special</type><id>2496011</id></value><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>68</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>103</n><type>special</type><id>2496370</id></value><value><comment>50</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>190</n><type>special</type><id>2496627</id></value></possession>,Stoke,Fulham,44.4,69.9,28.9,14.3,19.1,13.2,4.2,9.4,49.6,81.4,15.3,16.8,17.9,19.6,6.2,10.8,EGOS,42.8,41.0,93.3,80.0,13.8,0.0,4.35,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,4,2,2,0,1,7,4,0,0,0,0,3,0,0,31,21
Sunderland ,Stadium of Light ,48707.0,0,19,12,,7,,12,2,0,,2,11,6,,2,,15,3,0,,A,2,4,A,,EGNT,2012/2013,2012-11-24 15:00:00,8472.0,8659.0,<possession><value><comment>52</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>48</awaypos><homepos>52</homepos><n>44</n><type>special</type><id>2495412</id></value><value><comment>55</comment><event_incident_typefk>352</event_incident_typefk><elapsed>42</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>45</awaypos><homepos>55</homepos><n>88</n><type>special</type><id>2495456</id></value><value><comment>51</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>49</awaypos><homepos>51</homepos><n>152</n><type>special</type><id>2495520</id></value><value><comment>50</comment><elapsed_plus>4</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>215</n><type>special</type><id>2495595</id></value></possession>,Sunderland,West Bromwich Albion,44.7,75.2,17.0,16.7,20.6,15.3,6.2,12.1,46.3,77.7,15.7,15.6,18.4,9.9,5.5,10.3,EGNT,35.6,33.8,93.08,350.0,2.3,0.0,4.97,0,1,0,1,0,0,0,3,3,1,1,3,2,0,0,0,3,0,2,0,0,5,0,0,0,0,0,5,0,0,38,10
Wigan ,DW Stadium ,25133.0,0,19,11,,9,,15,2,0,,1,16,10,,5,,9,0,0,,A,3,2,H,,EGNO,2012/2013,2012-11-24 15:00:00,8528.0,9798.0,<possession><value><comment>48</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>52</awaypos><homepos>48</homepos><n>79</n><type>special</type><id>2495832</id></value><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>137</n><type>special</type><id>2496061</id></value><value><comment>59</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>41</awaypos><homepos>59</homepos><n>220</n><type>special</type><id>2496357</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>236</n><type>special</type><id>2496662</id></value></possession>,Wigan,Reading,52.9,82.1,10.3,14.0,18.7,18.5,7.0,11.6,42.8,69.2,18.4,18.6,15.8,14.7,4.4,11.3,,,,,,,,,1,0,0,3,1,0,0,0,0,0,0,9,5,2,0,0,7,1,1,0,2,6,2,0,3,0,0,3,1,0,27,25
London ,Stamford Bridge ,42449.0,0,5,1,,6,,9,0,0,,0,11,7,,11,,16,3,0,,D,0,0,D,,EGLC,2012/2013,2012-11-25 15:00:00,8455.0,8456.0,<possession><value><comment>38</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>62</awaypos><homepos>38</homepos><n>38</n><type>special</type><id>2498237</id></value><value><comment>45</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>55</awaypos><homepos>45</homepos><n>83</n><type>special</type><id>2498462</id></value><value><comment>42</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>58</awaypos><homepos>42</homepos><n>131</n><type>special</type><id>2498684</id></value><value><comment>45</comment><event_incident_typefk>352</event_incident_typefk><elapsed>89</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>55</awaypos><homepos>45</homepos><n>173</n><type>special</type><id>2498887</id></value></possession>,Chelsea,Manchester City,52.9,82.7,13.5,12.2,18.7,13.2,7.3,11.9,56.0,84.6,15.8,10.4,17.9,12.9,7.7,9.2,EGLC,51.8,44.6,76.34,205.0,9.8,0.0,6.21,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,5,1,0,0,3,2,0,1,0,0,2,1,0,20,25
Southampton ,St Mary's Stadium ,32689.0,1,17,10,,4,,12,2,0,,0,8,3,,3,,14,2,0,,H,2,0,H,,EGHI,2012/2013,2012-11-25 15:00:00,8466.0,10261.0,<possession><value><comment>48</comment><event_incident_typefk>352</event_incident_typefk><elapsed>21</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>52</awaypos><homepos>48</homepos><n>50</n><type>special</type><id>2497908</id></value><value><comment>53</comment><event_incident_typefk>352</event_incident_typefk><elapsed>31</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>47</awaypos><homepos>53</homepos><n>78</n><type>special</type><id>2497947</id></value><value><comment>56</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>5</sortorder><awaypos>44</awaypos><homepos>56</homepos><n>117</n><type>special</type><id>2498010</id></value><value><comment>50</comment><event_incident_typefk>352</event_incident_typefk><elapsed>69</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>176</n><type>special</type><id>2498250</id></value><value><comment>50</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>224</n><type>special</type><id>2498461</id></value></possession>,Southampton,Newcastle United,52.2,77.3,16.4,11.8,21.6,20.5,6.3,9.4,49.3,79.1,18.1,13.4,19.2,12.5,8.9,10.6,EGHI,50.0,48.2,93.5,210.0,10.95,0.0,5.59,0,0,0,3,0,0,0,0,0,1,0,7,3,2,0,0,1,1,2,1,0,6,0,0,1,0,1,2,0,0,9,29
Swansea ,Liberty Stadium ,20520.0,0,17,8,,7,,6,1,0,,0,21,14,,6,,10,0,0,,D,0,0,D,,EGOP,2012/2013,2012-11-25 15:00:00,10003.0,8650.0,<possession><value><comment>57</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>43</awaypos><homepos>57</homepos><n>35</n><type>special</type><id>2497543</id></value><value><comment>50</comment><event_incident_typefk>352</event_incident_typefk><elapsed>43</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>85</n><type>special</type><id>2497613</id></value><value><comment>47</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>53</awaypos><homepos>47</homepos><n>98</n><type>special</type><id>2497770</id></value><value><comment>50</comment><event_incident_typefk>352</event_incident_typefk><elapsed>89</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>162</n><type>special</type><id>2497877</id></value></possession>,Swansea,Liverpool,54.4,84.4,12.9,14.9,18.0,18.4,5.2,11.0,55.2,83.9,12.7,11.4,20.9,13.8,9.9,9.4,EGOP,51.8,50.0,93.55,180.0,21.9,0.0,2.55,0,0,0,0,0,0,0,0,1,1,0,6,2,1,0,0,9,6,2,1,0,5,4,0,1,0,0,7,4,0,18,16
London ,White Hart Lane ,36230.0,1,25,13,,4,,9,1,0,,0,10,6,,2,,10,2,0,,H,3,1,H,,EGLC,2012/2013,2012-11-25 15:00:00,8586.0,8654.0,<possession><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>24</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>119</n><type>special</type><id>2498239</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>124</n><type>special</type><id>2498420</id></value><value><comment>64</comment><event_incident_typefk>352</event_incident_typefk><elapsed>69</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>36</awaypos><homepos>64</homepos><n>157</n><type>special</type><id>2498709</id></value><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>89</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>197</n><type>special</type><id>2498897</id></value></possession>,Tottenham,West Ham,52.8,82.5,14.6,9.7,19.6,19.0,8.0,10.3,45.1,73.6,21.2,16.4,19.2,12.1,5.0,9.6,EGLC,51.8,44.6,76.34,205.0,9.8,0.0,6.21,0,0,0,3,1,0,0,0,1,0,0,10,3,3,0,0,4,0,0,1,1,10,0,0,2,0,0,3,1,0,20,19
Birmingham ,Villa Park ,42785.0,0,15,7,,8,,10,1,0,,0,11,6,,3,,5,0,0,,D,1,0,H,,EGBB,2012/2013,2012-11-27 15:00:00,10252.0,9798.0,<possession><value><comment>60</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>40</awaypos><homepos>60</homepos><n>47</n><type>special</type><id>2500240</id></value><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>118</n><type>special</type><id>2500365</id></value><value><comment>54</comment><event_incident_typefk>352</event_incident_typefk><elapsed>70</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>46</awaypos><homepos>54</homepos><n>190</n><type>special</type><id>2500553</id></value></possession>,Aston Villa,Reading,47.2,77.1,18.9,16.7,19.4,20.4,6.6,9.1,42.8,69.2,18.4,18.6,15.8,14.7,4.4,11.3,EGBB,43.7,39.2,84.095,355.0,13.8,0.0,6.21,1,0,0,0,0,0,0,0,1,0,0,9,0,2,0,0,5,2,3,0,0,6,4,0,2,0,1,3,1,0,35,36
Sunderland ,Stadium of Light ,48707.0,0,13,8,,5,,10,1,0,,0,13,9,,8,,15,3,0,,D,0,0,D,,EGNT,2012/2013,2012-11-27 15:00:00,8472.0,10172.0,<possession><value><comment>50</comment><event_incident_typefk>352</event_incident_typefk><elapsed>16</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>43</n><type>special</type><id>2500124</id></value><value><comment>48</comment><event_incident_typefk>352</event_incident_typefk><elapsed>26</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>52</awaypos><homepos>48</homepos><n>71</n><type>special</type><id>2500187</id></value><value><comment>51</comment><event_incident_typefk>352</event_incident_typefk><elapsed>43</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>49</awaypos><homepos>51</homepos><n>109</n><type>special</type><id>2500285</id></value><value><comment>47</comment><event_incident_typefk>352</event_incident_typefk><elapsed>65</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>53</awaypos><homepos>47</homepos><n>165</n><type>special</type><id>2500452</id></value><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>225</n><type>special</type><id>2500592</id></value></possession>,Sunderland,Queens Park Rangers,44.7,75.2,17.0,16.7,20.6,15.3,6.2,12.1,46.9,76.2,15.3,15.8,21.5,17.4,9.2,11.4,EGNT,42.8,39.2,86.99,350.0,12.1,0.0,6.21,0,0,0,0,0,0,0,0,2,0,0,5,2,3,0,0,7,3,1,1,1,3,0,0,0,0,0,4,0,0,24,26
London ,Stamford Bridge ,42449.0,0,17,13,,10,,10,3,0,,0,8,7,,2,,11,0,0,,D,0,0,D,,EGLC,2012/2013,2012-11-28 15:00:00,8455.0,9879.0,<possession><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>33</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>19</n><type>special</type><id>2501646</id></value><value><comment>54</comment><event_incident_typefk>352</event_incident_typefk><elapsed>49</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>46</awaypos><homepos>54</homepos><n>69</n><type>special</type><id>2502057</id></value><value><comment>53</comment><event_incident_typefk>352</event_incident_typefk><elapsed>54</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>47</awaypos><homepos>53</homepos><n>85</n><type>special</type><id>2502151</id></value><value><comment>53</comment><event_incident_typefk>352</event_incident_typefk><elapsed>60</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>47</awaypos><homepos>53</homepos><n>90</n><type>special</type><id>2502222</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>70</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>102</n><type>special</type><id>2502430</id></value></possession>,Chelsea,Fulham,52.9,82.7,13.5,12.2,18.7,13.2,7.3,11.9,49.6,81.4,15.3,16.8,17.9,19.6,6.2,10.8,EGLC,42.8,39.2,86.99,320.0,12.1,0.0,6.21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,1,1,0,7,1,1,0,1,0,2,0,0,27,4
